情感分数 = -19.865002	يېغىرىمنى=N=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=A=يوق تىلەمچى=A=تىلەمچى يوق=A=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = -4.0	مۇبادا=T=مۇبادا دادام=N=دادا ‹=N=‹ ئۇكىلىرىڭ=N=ئۇكا ئۈچۈن=R=ئۈچۈن ،=N=، ئاپاڭ=N=ئاپا ئۈچۈن=R=ئۈچۈن ،=V=، مەن=P=مەن ئۈچۈن=R=ئۈچۈن ئېغىر=A=ئېغىر بېسىق=A=بېسىق بول=V=بول ›=N=› دېمىگەن=V=دە بولسا=V=بول قولۇمغا=N=قول پىچاق=N=پىچاق ئېلىپ=V=ئال ھەممىسىنى=P=ھەممە سۈر=N=سۈر توقاي=N=توقاي قىلىۋىتەتتىم=N=قىل .=N=.
情感分数 = -4.0	ماۋۇ=P=ماۋۇ مۈرىنىڭ=N=مۈرە ئۈستىدىكى=N=ئۈست نەرسىنى=N=نەر ئىشلەتمىسە=V=ئىشلەت باراڭدىكى=N=باراڭ قاپاق=N=قاپاق بىلەن=R=بىلەن پەرقى=N=پەرق يوقكەن=A=يوقكەن دېسە=V=دە ھەي=E=ھەي توۋا=N=توۋا
情感分数 = -4.0	خۇددى=T=خۇددى ئۇيغۇردا=N=ئۇيغۇر ئىچەرمەن=N=ئىچەرمەن ،=N=، چېكەرمەن=N=چېكەرمەن ،=N=، ساتارمەندىن=N=ساتارمەن باشقىسى=A=باشقا يوقتەك=A=يوق .=N=.
情感分数 = -4.0	خەپ=E=خەپ كەچكىچە=N=كەچكىچە چىكىنىپ=V=چېكىن چىكىتىدۇ=V=چىق
情感分数 = -4.0	بىزدىكى=P=بىز ئۆزنى=V=ئۆز قويۇپ=V=قوي ئۆزگىنى=N=ئۆز بىر=M=بىر نەرسە=N=نەرسە دەيدىغان=V=دە ئىللەت=N=ئىللەت قاچان=P=قاچان تۈزىلەر=V=تۈزىلەر ؟=N=؟
情感分数 = -4.0	ئۇلارنىڭ=P=ئۇلار مەقسىتى=N=مەقسەت ئۇيغۇرنى=N=ئۇيغۇر ئىشتانسىز=A=ئىشتانسىز قىلىپ=V=قىل تاشلاپ=V=تاشلا خەلىقئالەمگە=N=خەلىقئالەم شەرمەندە=A=شەرمەندە قىلماقچى=V=قىل !=N=!
情感分数 = -4.0	ئۆتمە=V=ئۆت نامەرت=A=نامەرت كۆۋرۈكىدىن=N=كۆۋرۈك كەلكۈن=N=كەلكۈن سىنى=N=سەن چۆكتۈرسىمۇ=V=چۆك !=N=!
情感分数 = -4.0	كىملەر=P=كىم ئىجاد=N=ئىجاد قىلغان=V=قىل بولغىيتتى=V=بول ئەلچىلىككە=N=ئەلچى نانلىق=N=نان قىلغىلى=V=قىل بارغاندا=V=بار يەتتە=M=يەتتە قازان=N=قازان ئىسىشنى=V=ئاس مىھماننىڭ=N=مىھمان ھۆرمىتنى=N=ھۆرمىت قىلماققۇ=V=قىل پەرز=N=پەرز لېكىن=R=لېكىن ھەشەمەتچىلىك=A=ھەشەمەتچىلىك
情感分数 = -4.0	بىر=M=بىر قەلەندەر=A=قەلەندەر ناننى=N=نان تىلەپ=V=تىلە يەر=N=يەر بىر=M=بىر فۇڭ=N=فۇڭ تاپماي=V=تاپ كۈنلىرىم=N=كۈن ئۆتەر=V=ئۆت
情感分数 = -4.0	تورىم=N=تور بۈگۈن=N=بۈگۈن بەكلا=D=بەك ئاستا=A=ئاستا تۇرىدا=V=تۇر سەت=A=سەت ئىچىم=N=ئىچ سىقىلدى=V=سىق
情感分数 = -4.0	مېنىڭ=P=مەن ھېس=N=ھېس قىلىشىمچە=N=قىلىش ،=N=، نۇرغۇن=A=نۇرغۇن ياشلار=N=ياش جۈملىدىن=R=جۈملىدىن مەنمۇ=P=مەن ،=V=، مەزكۇر=P=مەزكۇر فىلىم=V=فىلىم ۋەقەلىكلىرىگە=N=ۋەقەلىك ئىنتايىن=D=ئىنتايىن نارازى=A=نارازى بولۇپ=V=بول ،=N=، ئۇيغۇرلارنىڭ=N=ئۇيغۇر ئۆرپ=N=ئۆرپ ئادەتلىرىگە=N=ئادەت ،=N=، دىنىغا=N=دىن ،=N=، كەڭ=A=كەڭ قورساقىلىقىغا=N=قورساق پەقەتلا=D=پەقەت چۈشمىگەن=V=چۈش .=N=.
情感分数 = -4.0	لالما=A=لالما كەبى=T=كەبى خار-زەبۇن=A=خار-زەبۇن بول=V=بول سەن=P=سەن پەسەندە=A=پەسەندە
情感分数 = -4.0	ئۇنداق=P=ئۇنداق ئەرزىمەس=A=ئەرزىمەس ئىشلار=N=ئىش ئۈچۈن=R=ئۈچۈن زېھنىمىزنى=N=زېھىن چاچقىلى=N=چاچ تۇرساق=V=تۇر چوڭ=A=چوڭ ئىشلىرىمىزنىڭ=N=ئىش روياپقا=N=روياپ چىقىشىغا=V=چىق تەسىر=N=تەسىر كۆرسىتىدۇ=V=كۆر كاللىڭىزغا=N=كاللا كىرگۈزىۋالماڭ=V=كىرگۈز بىر=M=بىر قىسىملارنىڭ=N=قىسىم تەتۈر=A=تەتۈر پىكىرى=N=پىكىر ئومۇمغا=N=ئومۇم ۋەكىللىك=A=ۋەكىللىك قىلالمايدۇ=V=قىل
情感分数 = -4.0	بەخىت=A=بەخىت ئىچىدە=N=ئىچى تۇرۇپ=V=تۇر بەخىتلىكلىكىنى=A=بەخىتلىكلىك سەزمىگەنلىك=V=سەز بۇ=P=بۇ بەك=D=بەك ئېچىنىشلىق=A=ئېچىنىشلىق ئىش=N=ئىش
情感分数 = -4.0	سىستېمىسىدىن=N=سىستېما مەسىلە=N=مەسىلە چىقتىمۇ=V=چىق قانداق=P=قانداق ؟=V=؟
情感分数 = -4.0	ئۇيغۇرچىنى=N=ئۇيغۇرچە قەستەن=D=قەستەن خاتا=A=خاتا يازامدىكى=V=ياز دەيمەن=V=دە
情感分数 = -3.8600004	باھانە=N=باھانە ئىزدەشتىمۇ=V=ئىزدە جىنس=N=جىنس رېكۇرتى=N=رېكۇرت يارىتىدىغان=V=يارات ئىش=N=ئىش بولسا=V=بول رېكورت=N=رېكورت ياراتقۇچى=N=ياراتقۇچى مەن=P=مەن بولارمەنمىكىن=V=بول دەيمەن=V=دە باھانىگە=N=باھانە تۇنجۇقۇپ=V=تۇنجۇق قالاي=V=قال دېدىم=V=دە ئەمما=R=ئەمما
情感分数 = -3.8600004	جۇۋان=N=جۇۋان نازىدەك=A=ناز تولغانسا=V=تولغان ئەرلىك=A=ئەرلىك قىزلار=N=قىز قان=N=قان يۇتمامدۇ=V=يۇت ھىجران=N=ھىجران دەزىدە=N=دەز
情感分数 = -3.8600001	ئەسسالامۇ=N=ئەسسالامۇ ئەلەيكۇم=N=ئەلەيكۇم ھەي=E=ھەي ئەمدى=R=ئەمدى قانداخمۇ=P=قانداخ قىلامىز=V=قىل ئىنشا=N=ئىنشا ئاللاھ=N=ئاللاھ بۇ=P=بۇ مەخلۇقلارنىڭ=A=مەخلۇق جاجىسىنې=N=جاجىسى ئۆزى=P=ئۆز بەرگەي=V=بەر ئامىن=N=ئامىن !=N=!
情感分数 = -3.7200005	قېرىنداشلار=N=قېرىنداش ھازﯨرمۇ=N=ھازﯨرمۇ ۋاقىت=N=ۋاقىت كەچ=N=كەچ ئەمەس=V=ئەمەس ،=N=، غەپلەت=N=غەپلەت ئۇيقۇسىدﯨن=N=ئۇيقۇسىدﯨن ئىرغىپ=V=ئىرغى تۇرۇپ=V=تۇر ،=N=، كۆزىمىزنى=N=كۆز ئاچساق=N=ئاچساق ،=N=، ئىتتىپاقلىشىپ=V=ئىتتىپا بىر=M=بىر ياقىدىن=N=ياق باش=N=باش چىقىرىپ=V=چىق ،=N=، ئاسارەت=N=ئاسارەت كىشەنلىرىنى=N=كىشەن پاچاقلاپ=V=پاچاقلا تاشلىساق=V=تاشلا ،=N=، پەلەكنى=N=پەلەك ئوڭغا=N=ئوڭ بۇراپ=V=بۇرا ،=N=، ئىستىقبالىمىزنى=N=ئىستىقبال يورۇتۇشقا=N=يورۇت ،=N=، ۋەتەن=N=ۋەتەن ،=N=، مىللەتنى=N=مىللەت سائادەتلىك=N=سائادەت كۈنلەرگە=N=كۈن يىتىشتۈرۈشكە=V=يەت ھېلىمۇ=D=ھېلىمۇ كېچىكمەيمىز=N=كېچىك !=N=!
情感分数 = -3.7200003	پەيغەمبەر=N=پەيغەمبەر پەرىشتىنىڭ=N=پەرىشتە بىرى=M=بىرى بولمىش=V=بول ئەزرائىل=N=ئەزرائىل ئەلەيھىسالامنىڭ=N=ئەلەيھىسالام نامىنى=N=نام كەلسە=V=كەل كەلمەس=V=كەل بىر=M=بىر نېمىلەرگە=P=نېمە قويۇپ=V=قوي يۈرگىنى=V=يۈر نېمىسى=P=نېمە ؟=V=؟
情感分数 = -3.5750003	ئەجەپ=D=ئەجەپ ئاچچىقىم=N=ئاچچىق كەلدى=V=كەل بۈگۈن=N=بۈگۈن !=N=!
情感分数 = -3.5750003	مەن=P=مەن بەك=D=بەك ئېچىندىم=V=ئېچىن بۇ=P=بۇ ئىشقا=N=ئىش
情感分数 = -3.5750003	شىنجاڭدا=N=شىنجاڭ مۇلازىمەت=N=مۇلازىمەت بەك=D=بەك ناچاركەن=N=ناچار .=N=.
情感分数 = -3.5750003	بەك=D=بەك زېرىكتىم=V=زېرىك جۇمۇ=T=جۇمۇ بۇ=P=بۇ ئۆگىنىشلەردىن=N=ئۆگىنىش !=N=!
情感分数 = -3.5750003	بىرى=M=بىرى بارسا=V=بار ئاياق=N=ئاياق ئاتسا=V=ئات بىرى=M=بىر بارسا=V=بار بۇنداق=P=بۇنداق قىلسا=V=قىل تولىمۇ=D=تولىمۇ ئاھانەتكە=A=ئاھانەت قېلىۋاتىدۇ=V=قال جۇمۇ=P=جۇمۇ
情感分数 = -3.5750003	ئىچىم=N=ئىچ تولىمۇ=D=تولىمۇ پۇشتى=N=پۇش .=N=.
情感分数 = -3.5750003	جەمئىي=N=جەمئىي مىڭ=M=مىڭ گۈدۈكچىگە=N=گۈدۈك ئەگىشىپ=V=ئەگەش بولدۇم=V=بول قولدا=N=قول بىر=M=بىر بىرلەپ=M=بىر ئەگىشىش=V=ئەگەش بەك=D=بەك جاپالىقكەن=V=جاپا يەنە=D=يەنە مىڭ=M=مىڭ گۈدۈكچى=N=گۈدۈك بار=A=بار ئۇلارغىمۇ=P=ئۇلار ئەگىشىش=V=ئەگەش كېرەك=A=كېرەك
情感分数 = -3.5750003	ئالىي=A=ئالىي مەكتەپ=N=مەكتەپ بەك=D=بەك زېركىشلىككەن=N=زېركىش
情感分数 = -3.575	ما=N=ما بالا=N=بالا يەنە=D=يەنە دەشتى=N=دەشت چۆللەر=N=چۆل ئارا=N=ئارا سەرسان-سەرگەردان=N=سەرسان-سەرگەردان بولۇپ=V=بول يۈرمىسۇن=V=يۈر
情感分数 = -3.575	خەقنىڭ=N=خەق ئويلىغىنى=V=ئويلا ياكى=R=ياكى ئاساسى=N=ئاسا باردۇر=A=بار دېمەي=V=دە نېمانداق=P=نېمانداق ھاقارەتلىك=N=ھاقارەت گەپلەرنى=N=گەپ قىلىپ=V=قىل يۈرۈيدىغاندۇ=N=يۈر ؟=N=؟
情感分数 = -3.575	ئاخشام=N=ئاخشام ئىشلىرىمنى=N=ئىش تاماملاپ=V=تاماملا سائەت=N=سائەت گە=X=گە يېقىن=A=يېقىن ئۆيگە=N=ئۆي كىرىپ=V=كىر ئۈستەل=N=ئۈستەل ئۈستىدە=N=ئۈستىدە تۇرغان=V=تۇر بىر=M=بىر پارچە=Q=پارچە خەت=N=خەت ھەم=R=ھەم ئاددىيغىنا=A=ئاددىيغىنا يېڭى=A=يېڭى يىل=N=يىل سوۋغىسىدىن=N=سوۋغا بەزى=P=بەزى ئىشلارنى=N=ئىش بەكلا=D=بەك ئاددىي=A=ئاددىي ئويلاپ=V=ئويلا قويغىنىمنى=N=قوي ھىس=N=ھىس قىلىپ=V=قىل بەكلا=D=بەك ئازابلاندىم=V=ئازاب
情感分数 = -3.57	ئىملارىم=N=ئىملا خاتا=A=خاتا چىقىپ=V=چىق قالدى=V=قال بۇ=P=بۇ گۈدۈكنىڭ=N=گۈدۈك مەسىلىسىمۇ=N=مەسىلە يا=R=يا كومپيۇتېرنىڭ=N=كومپيۇتېر مەسىلىسىمۇ=N=مەسىلە بىلمىدىم=V=بىل بەزى=R=بەزى خەتلەر=N=خەت كاتەك=N=كاتەك چىقىپ=V=چىق قېلىپ=V=قال توغرا=A=توغرا يازالمىدىم=V=ياز
情感分数 = -3.4300003	ئەخلاقسىزلىق=A=ئەخلاقسىز ئادەتكە=N=ئادەت ئايلىنىپ=V=ئايلان كەتكەندە=V=كەت ئۇ=P=ئۇ قانۇنلاشتۇرۇلۇشقا=V=قانۇن مەجبۇر=A=مەجبۇر بولىدۇ=V=بول شۇنىڭ=P=شۇنىڭ بىلەن=R=بىلەن يېڭى=A=يېڭى ئەخلاق=N=ئەخلاق ۋە=R=ۋە مەدەنىيەت=N=مەدەنىيەت ئۆلچىمى=N=ئۆلچەم مەيدانغا=N=مەيدان كېلىدۇ=V=كەل
情感分数 = -3.4300003	ئەڭ=D=ئەڭ ئەپسۇسلىنارلىق=N=ئەپسۇس ئىش=N=ئىش بەلكىم=T=بەلكىم ئەڭ=D=ئەڭ ياخشى=A=ياخشى دەپ=V=دە قارىغان=V=قارا ،=N=، ئېرىشىشنى=V=ئېرىش بىر=M=بىر ئۆمۈر=N=ئۆمۈر ئارزۇ=N=ئارزۇ قىلغان=V=قىل ھەم=R=ھەم بارلىق=P=بارلىق كۈچى=N=كۈچ بىلەن=R=بىلەن تىرىشقان=V=تىرىش ئاشۇ=P=ئاشۇ نەرسىلەرنىڭ=N=نەرسە ئاخىرىدا=D=ئاخىرى مۇھىم=A=مۇھىم ئەمەس=V=ئەمەس بولۇپ=V=بول چىقىشى=V=چىق بولسا=V=بول كېرەك=A=كېرەك
情感分数 = -3.4300003	بۇنداق=P=بۇنداق جاھىل=A=جاھىل سىياسەتنى=N=سىياسەت يۈرگۈزۈش=V=يۈرگۈز ۋە=R=ۋە ئەزەلدىن=D=ئەزەلدىن كومپارتىيە=N=كومپارتىيە ياخشى=A=ياخشى دەپ=V=دە قارايدىغان=V=قارا دېھقانلاردىمۇ=N=دېھقان ئەكسى=N=ئەك تەسىر=N=تەسىر قوزغاش=V=قوزغا ئۆزىنىڭ=P=ئۆز پۇتىغا=N=پۇت ئۆزى=P=ئۆز پالتا=N=پالتا چاپقانلىققا=N=چاپ باراۋەر=A=باراۋەر .=N=.
情感分数 = -3.4300003	مۇھەببەت=N=مۇھەببەت كور=A=كور ۋە=R=ۋە گاس=A=گاس قىلېۋىتىدۇ=V=قىل مەھبۇبنىڭ=N=مەھبۇبە قەبىھلىكىنىمۇ=A=قەبىھ گۈزەل=A=گۈزەل كۆرسىتىدۇ=V=كۆر
情感分数 = -3.4300003	ئىنسانلار=N=ئىنسان ئىزدىنىپ=V=ئىزدە ئىزدىنىپ=V=ئىزدە ئۆزىنى=P=ئۆز تۈگەشتۈرىۋالىدىغان=V=تۈگەش ئوخشايدۇ=V=ئوخشا يەنە=D=يەنە نېمىشقا=P=نېمىشقا تىرىشىمىز=V=تىرىش ؟=N=؟
情感分数 = -3.4300003	ئىختىسادى=N=ئىختىساد تەرەققىيات=N=تەرەققىيات ۋايىغا=N=ۋايى يەتتى=V=يەت دەپ=V=دە قارىغاندا=V=قارا ھەممە=P=ھەممە ساھەنىڭ=N=ساھە جازانىخورلۇق=N=جازانىخور بىلەن=R=بىلەن قاپلانغانلىقىنى=V=قاپلا ياكى=R=ياكى جازانىخورلۇق=N=جازانىخور بىلەن=R=بىلەن چېتىلغانلىقىنى=N=چات كۆردۈم=V=كۆر .=N=.
情感分数 = -3.43	جاق=D=جاق تويغۇزدىغۇ=V=توي زادى=D=زادى .=N=.
情感分数 = -3.43	ئىمانسىز=A=ئىمانسىز كىشى=N=كىشى ھايۋانغا=N=ھايۋان ئوخشايدۇ=V=ئوخشا .=N=.
情感分数 = -3.43	ساغلاملىقىڭىزغا=N=ساغلاملىق كۆيۈنۈڭ=V=كۆي دىققەت=N=دىققەت قىلىڭ=V=قىل ئەتراپىڭىزدا=N=ئەتراپ يۇقۇملۇق=A=يۇقۇملۇق كېسەل=N=كېسەل بولۇشى=V=بول مۇمكىن=A=مۇمكىن !=N=!
情感分数 = -3.43	قۇرۇپ=V=قۇرۇپ كەتسۇن=V=كەت دۇنيا=N=دۇنيا لوڭقىسى=N=لوڭقا !=N=!
情感分数 = -3.43	باشقىلارنىڭ=A=باشقا سۆزىگە=N=سۆز ئىنكاس=N=ئىنكاس قايتۇرسام=N=قايتۇر خاتالىق=N=خاتا ئۇچۇرى=N=ئۇچۇر چىقىپ=V=چىق بېكەت=N=بېكەت ئېچىلمايۋاتىدۇ=N=ئېچىل .=N=.
情感分数 = -3.43	ئۇزۇندىن=A=ئۇزۇن بېرى=R=بېرى بۇ=P=بۇ دەرىجىدە=N=دەرىجە ئاچچىقىم=N=ئاچچىق كەلگىنى=V=كەل يادىمدا=N=ياد يوق=A=يوق ئىدى=V=ئىد
情感分数 = -3.43	مېنىڭ=P=ما توردا=N=تور ھېچكىم=P=ھېچكىم بىلەن=R=بىلەن ئازارلاشقۇم=A=ئازار يوق=A=يوق !=N=!
情感分数 = -3.43	ئىشخانىدا=N=ئىشخانا ئادەم=N=ئادەم بارتۇرۇپ=N=بارتۇرۇپ يوق=A=يوق دەپ=V=دە ئادەم=N=ئادەم گوللاپ=V=گول
情感分数 = -3.43	ما=N=ما ئۈن=N=ئۈن سىنچىلەرنىڭ=N=سىنچى ئۈچ=M=ئۈچ كويدىن=N=كوي تولاپ=V=تولا پىلاستىكا=N=پىلاستىكا سىتىشىغا=V=سات ئۆچ=A=ئۆچ بولۇپ=V=بول كەتتىم=V=كەت
情感分数 = -3.43	بۇ=P=بۇ خەق=N=خەق ئۆزى=P=ئۆز بىلەن=R=بىلەن ئۆزى=P=ئۆز خەتلەرنى=N=خەت قىسقارتىپ=V=قىسقار ،=V=، ئۆزى=P=ئۆز بىلەن=R=بىلەن ئۆزى=P=ئۆز خەتنى=N=خەت قېتىپ=V=قات خەت=N=خەت ئىجاد=N=ئىجاد قىلىپ=V=قىل يۈرۈيدۇ=N=يۈرۈي .=N=.
情感分数 = -3.43	بالا=N=بالا يۈتسە=V=يۈت ھىچ=P=ھىچ ھەسرەت=N=ھەسرەت يوق=A=يوق يۈردۈڭلارمۇ=V=يۈر ؟=N=؟ كەلگۈسىمىز=N=كەلگۈسى ئۇ=P=ئۇ پەرزەنىتنى=N=پەرزەنت سۆيدۈڭلارمۇ=V=سۆي ؟=N=؟
情感分数 = -3.43	خاتالىق=A=خاتالىق چىقىۋېلىپ=V=چىق ئىچىمنى=N=ئىچ سىقىۋەتتتى=V=سىق
情感分数 = -3.43	يېزىق=N=يېزىق ئۆزگەرتىمىز=N=ئۆزگەرت دەپ=V=دە جار=N=جار سېلىۋاتقانلار=N=سال كۆزۈمگە=N=كۆز مۇناپىقتەك=N=مۇناپىق كۆرۈنىدىغان=V=كۆر بولۇپ=V=بول قالدى=V=قال .=N=.
情感分数 = -3.43	ئەمدى=D=ئەمدى كىمگە=P=كىم زارلاپ=V=زار ،=V=، كىمگە=P=كىم دەرت=V=دەرت ئېيتىپ=V=ئېيت يۈرىيمىز=N=يۈرىي ؟=N=؟
情感分数 = -3.43	بىر=M=بىر دەم=N=دەم يوق=A=يوق بولغىنىمغا=V=بول خېلى=D=خېلى گەپلە=N=گەپ بوپ=V=بول كېتىپتۇ=V=كەت
情感分数 = -3.43	قەشقەرنى=N=قەشقەر غەپلەت=A=غەپلەت باستى=V=باس بۇ=P=بۇ يەردە=N=يەر ياشاشتىن=V=ياشا زېرىكىپ=N=زېرىك قالدىم=V=قال .=N=.
情感分数 = -3.43	ۋاي=E=ۋاي ما=N=ما گۈدۈك=N=گۈدۈك نىمانداق=D=نىمانداق قىلىدۇ=V=قىل ئادەمنى=N=ئادەم جىلە=A=جىلە قىلىپ=V=قىل ئېچىلىشى=V=ئاچ ئاستا=A=ئاستا بەتلەرنىڭ=N=بەت يېڭىلىنىشى=V=يېڭىلا ئۇنىڭدىن=P=ئۇ ئاستا=A=ئاستا سىلەرنىڭمۇ=P=سىلەر شۇنداقمۇ=P=شۇنداق ياكى=R=ياكى مېنىڭلاممۇ=N=مەن ؟=N=؟
情感分数 = -3.43	ئامېرىكىدا=N=ئامېرىكا مىڭدەك=M=مىڭ تېز=A=تېز يەتكۈزۈش=V=يەتكۈز شىركىتى=N=شىركەت بار=A=بار جۇڭگودىكى=N=جۇڭگو تېز=A=تېز يەتكۈزۈش=V=يەتكۈز شىركەتلىرىنىڭ=N=شىركەت سانى=N=سان مىڭدىن=M=مىڭ ئاشىدىكەن=V=ئاش يىلدا=N=يىل يوقاپ=V=يوقا كېتىش=V=كەت ئەرزى=N=ئەرىز !=N=!
情感分数 = -3.43	ئىشنىڭ=N=ئىش ئېچىنىشلىق=A=ئېچىنىشلىق تەرىپى=N=تەرىپ شۇكى=P=شۇ ،=V=، ئارىمىزدا=N=ئارا 50=N=50 يىلدىن=N=يىل بۇرۇنقى=A=بۇرۇن ئۆتمۈشىمىزنى=N=ئۆتمۈش بىلىدىغانلار=V=بىل يوق=A=يوق دېيەرلىك=V=دە .=N=.
情感分数 = -3.43	ئۆينىڭ=N=ئۆي باھاسى=N=باھا نېمانداق=D=نېمانداق ئۆستى=V=ئۆس دەيمەنسۇ=V=دە كەلگۈچە=V=كەل توغان=N=توغان سال=V=سال خوتۇن=N=خوتۇن كەلگۈچە=V=كەل قورغان=N=قورغان سال=N=سال دەپتىكەن=V=دە كونىلا=N=كونا توي=N=توي قىلىپ=V=قىل بولغىچە=N=بول كەپە=N=كەپە بولسىمۇ=V=بول جايلاشتۇراي=V=جاي
情感分数 = -3.43	قەبىرلەرنى=N=قەبىرە زىيارەت=N=زىيارەت قىلىپ=V=قىل تۇرۇپ=V=تۇر ،=N=، ھەتتاكى=R=ھەتتا ئىچىگىچە=N=ئىچى كىرىپ=V=كىر يېتىپ=V=يات بېقىپمۇ=V=باق ھېچقانداق=P=ھېچقانداق ھېسىياتتا=V=ھېسىيات بولماسلىقنى=V=بول نېمە=P=نېمە دېسەك=V=دە بولا=V=بولا ؟=N=؟
情感分数 = -3.43	ئاتاڭغا=N=ئاتا لەنەت=N=لەنەت تىل=N=تىل يېزىق=N=يېزىق كومېتىتىدىكى=N=كومېتىت ناكەسلەر=N=ناكەس ،=N=، قىلىدىغان=V=قىل ئىشىڭ=N=ئىش بولمىسا=V=بول چىقىپ=V=چىق دېھقاننىڭ=N=دېھقان يېرنى=N=يېر تېرىشىپ=V=تېرى بېرىشسەڭ=N=بەر بولمامدۇ=V=بول ؟=N=؟
情感分数 = -3.43	ئۆزىمىزنىڭ=P=ئۆز پۇلىنى=N=پۇل ئالالماي=V=ئال باشلىق=N=باشلىق دېگەن=V=دە نىمىگە=N=نىمە يوللاپ=V=يوللا بىرىۋاتىمىزدە=V=بەر خەپ=E=خەپ !=V=!
情感分数 = -3.43	كىشى=N=كىشى دۆت=A=دۆت بولار=V=بول مەندەك=P=مەن بولار=V=بول تېلېفۇنۇمنى=N=تېلېفۇن زاۋۇت=N=زاۋۇت قۇلپىسىدىن=N=قۇلۇپ بىر=M=بىر سائەت=N=سائەت ئولتۇرۇپ=V=ئولتۇر يېشىپ=V=يەش ئەڭ=D=ئەڭ ئاخىرىدا=D=ئاخىرى دەپ=V=دە ھەممە=P=ھەممە ئىشنى=N=ئىش بۇزدۇم=V=بۇز
情感分数 = -3.43	قاخشىغۇچىنىڭ=N=قاخشىغۇچى تىلەمچىدىن=N=تىلەمچى پەرقى=N=پەرق يوق=A=يوق !=N=!
情感分数 = -3.43	قانداق=P=قانداق قىلغاندا=V=قىل زېرىكىشلىكنى=N=زېرىك تۈگەتكىلى=V=تۈگە بولىدۇ=V=بول
情感分数 = -3.43	يوغان=A=يوغان بىر=M=بىر ماشىنىغا=N=ماشىنا چىقىپتىكەنسىلە=V=چىق يېرىم=A=يېرىم سائەتتە=N=سائەت بىر=M=بىر رەسىم=N=رەسىم يوللاپ=V=يوللا تويغازدىڭلىغۇ=V=توي ؟=N=؟
情感分数 = -3.43	ھازىر=D=ھازىر بولىۋاتقىنى=N=بول يالغۇز=A=يالغۇز بىر=M=بىر باغچىنى=N=باغچا چېقىشقا=V=چاق قارشى=A=قارشى تۇرىۋاتقان=V=تۇر ئىش=N=ئىش ئەمەس=V=ئەمەس ،=N=، بەلكى=R=بەلكى ئىسلام=N=ئىسلام ھاكىمىيىتىگە=N=ھاكىمىيەت ،=N=، مۇسۇلمانلارنىڭ=N=مۇسۇلمان دۇنيادىكى=N=دۇنيا ئورنىغا=N=ئورۇن قىلىنىۋاتقان=V=قىل خىرىس=N=خىرىس ھېسابلىنىدۇ=V=ھېسابلا .=N=.
情感分数 = -3.43	ھەربىر=P=ھەربىر قېتىم=Q=قېتىم بومبا=N=بومبا پارتىلىغان=V=پارتىلا ئاۋازنى=N=ئاۋاز ئاڭلىغىنىدا=V=ئاڭلا بۇ=P=بۇ كىشىلەر=N=كىشى چاۋاك=N=چاۋاك چېلىشىپ=V=چېلىش تەبىركلىشىپ=V=تەبىرك كېتىشتى=V=كەت
情感分数 = -3.43	سىنا=N=سىنا مىكرو=A=مىكرو بىلوگىدا=A=بىلوگ بەش=M=بەش قۇرغا=N=قۇر نۇرغۇن=A=نۇرغۇن خەنچە=N=خەنچە گەپ=N=گەپ يازغىلى=V=ياز بولغان=V=بول بىلەن=R=بىلەن گۈدۈكتە=N=گۈدۈك ئۇيغۇرچە=N=ئۇيغۇرچە خەت=N=خەت يازساق=V=ياز كالتە=A=كالتە كەپ=N=كەپ قالغان=V=قال ئىشتاندەكلا=N=ئىشتان گىپىمىز=N=گەپ بىريەرلىرى=N=بىريەر چەكلىمىگە=N=چەكلىمە ئۇچىرايدىكەن=V=ئۇچىرا
情感分数 = -3.43	ما=P=ما ئۈن=N=ئۈن سىنچىلەرنىڭ=N=سىنچى ئۈچ=M=ئۈچ كويدىن=N=كوي توۋلاپ=V=توۋلا پىلاستىكا=N=پىلاستىكا سىتىشىغا=V=سات ئۆچ=A=ئۆچ بولۇپ=V=بول كەتتىم=V=كەت
情感分数 = -3.43	سۈرىيە=N=سۈرىيە ئىچكى=A=ئىچكى ئۇرۇشىدا=V=ئۇر بۇ=P=بۇ بالىنىڭ=N=بال ئاتا-ئانىسى=N=ئاتا-ئانا قازا=N=قازا قىلغان=V=قىل ،=N=، پەقەت=D=پەقەت بالا=N=بالا ئۆزى=P=ئۆز تەنھا=A=تەنھا قالغان=V=قال
情感分数 = -3.43	كۆرۈنمە=N=كۆرۈنمە چاستوتا=N=چاستوتا دېگىنىنى=V=دە ئاڭلىسامغۇ=N=ئاڭلا بەدەنلىرىم=N=بەدەن تىكەنلىشىپ=V=تىكەن كېتىدۇ=V=كەت
情感分数 = -3.43	شەھۋەت=N=شەھۋەت ئوتلىرىنىڭ=N=ئوت يالقۇنلاۋاتقانلىقىنى=N=يالقۇن كۆردۈم=V=كۆر .=N=.
